scenario,replication,seed,total_arrivals,fresh_arrivals,recertification_arrivals,short_redial_arrivals,long_redial_arrivals,service_successes,service_failures,abandon_lost,abandon_short,abandon_long,total_abandonments,mean_Q,mean_waiting,mean_B,mean_RS,mean_RL,utilization,average_wait_including_abandonments_minutes,average_speed_to_answer_minutes,average_time_to_abandonment_minutes,abandonment_fraction,procedural_denial_rate_per_model_day,total_arrival_rate_per_model_day,effective_arrival_rate_per_model_day,returning_call_rate_per_model_day,final_Q,final_waiting,final_in_service,final_B,final_RS,final_RL,min_Q,min_B,min_RS,min_RL,max_in_service,abandonments_per_fresh_arrival,abandonments_per_external_arrival,redial_arrivals_per_fresh_arrival,redial_arrivals_per_external_arrival,total_attempts_per_fresh_arrival,total_attempts_per_external_arrival,repeat_attempt_share,mean_attempts_before_enrollment,median_attempts_before_enrollment,p90_attempts_before_enrollment,p95_attempts_before_enrollment,max_attempts_before_enrollment,num_completed_enrollments_with_attempt_records
sinusoidal_amp_050,20,20260648,60499,29626,3102,6743,21028,18458,18635,9454,6831,7050,23335,80.3263971115034,49.08677698615372,8097.96412008581,45.852305066397015,3960.769906167194,0.9762381289171723,21.028483812664152,24.519705037773562,15.478885830963549,0.3857088546918131,196.95833333333334,1260.3958333333333,774.25,643.1875,134,102,32,14585,101,5376,0,0,0,0,32,0.7876527374603389,0.7129980444879003,0.9373860797947748,0.8485394769005133,2.042091406197259,1.8485394769005132,0.45903238070050745,0.7824791418355185,0.0,2.0,3.0,10,18458
sinusoidal_amp_050,21,20260649,60164,29454,3097,6890,20723,18745,18293,9250,6950,6862,23062,79.12845715207284,47.91283774792742,8298.597354823809,47.91914720767591,3856.107118578729,0.9754881063795503,20.640833666268108,23.89798962124198,15.409780754104286,0.3833189282627485,192.70833333333334,1253.4166666666667,772.9583333333334,639.7916666666666,118,86,32,14824,79,5191,0,0,0,0,32,0.7829836354994228,0.7084882184879113,0.9374957560942486,0.8482995914104021,2.042642764989475,1.8482995914104021,0.4589621700684795,0.8034142437983463,0.0,2.0,3.0,9,18745
sinusoidal_amp_050,22,20260650,60331,29564,3132,6759,20876,18755,18766,9157,6821,6776,22754,77.5653921421742,46.39270088118226,8342.528737445218,45.33059613018319,3938.756073969931,0.9741466019060594,19.935327374657735,23.11587243760259,14.690656929603941,0.3771527075632759,190.77083333333334,1256.8958333333333,782.8541666666666,640.9791666666666,123,91,32,14935,90,5424,0,0,0,0,32,0.7696522797997565,0.6959261071690727,0.9347517250710323,0.8452104232933693,2.0406913814098226,1.8452104232933693,0.4580563889211185,0.7881098373766996,0.0,2.0,3.0,10,18755
sinusoidal_amp_050,23,20260651,60116,29553,3003,6704,20856,18637,18615,9271,6743,6818,22832,78.70500773678866,47.532500645506325,8181.610385981118,45.50149105232478,3970.6466817122296,0.9741408466025704,20.492635423115846,23.632889514284116,15.369091913821858,0.37979905516002394,193.14583333333334,1252.4166666666667,776.75,636.7291666666666,111,79,32,14816,80,5339,0,0,0,0,32,0.772578080059554,0.7013146578203711,0.9325618380536663,0.8465413441454724,2.034175887388759,1.8465413441454723,0.458447002461907,0.7757686322906047,0.0,2.0,3.0,11,18637
sinusoidal_amp_050,24,20260652,60686,29703,2972,7102,20909,18554,18562,9328,7164,7008,23500,80.22744690683203,49.05242180451247,8161.470113172126,50.502010400382886,3927.5761190686067,0.9742195344474842,20.95026934907303,24.331169187585164,15.610461757319136,0.38723923145371253,194.33333333333334,1264.2916666666667,774.7083333333334,645.4791666666666,140,108,32,14769,90,5421,0,0,0,0,32,0.7911658755007912,0.7192042846212701,0.943036056963943,0.8572609028309105,2.043093290240043,1.8572609028309104,0.46157268562765713,0.7966476231540368,0.0,2.0,3.0,9,18554
sinusoidal_amp_050,25,20260653,61549,29910,2956,7410,21273,18221,18615,9806,7478,7344,24628,82.90654057756682,51.471401878669354,8074.323767023791,50.2663421801177,4002.089698381434,0.9823480843405092,21.669656951122377,25.580128188821888,15.820780935534462,0.40013647662837737,204.29166666666666,1282.2708333333333,769.1875,659.1458333333334,152,120,32,14481,93,5447,0,0,0,0,32,0.823403543965229,0.7493458285157913,0.9589769307923771,0.8727256130956003,2.057806753594116,1.8727256130956003,0.4660189442557962,0.7979254706108336,0.0,2.0,3.0,9,18221
sinusoidal_amp_050,26,20260654,60388,29529,3043,7001,20815,18500,18220,9371,7067,7149,23587,80.35344631933843,49.175631413161796,8216.988561691607,48.36722637240746,3871.6067900933053,0.9743067158180571,21.104968990932278,24.57083682825917,15.709341442424892,0.3905908458634166,195.22916666666666,1258.0833333333333,766.6875,642.8958333333334,136,104,32,14681,93,5288,0,0,0,0,32,0.7987740864912459,0.7241495763232224,0.9419892309255309,0.8539850178067051,2.0450404686917945,1.8539850178067052,0.46062131549314433,0.7795675675675676,0.0,2.0,3.0,9,18500
sinusoidal_amp_050,27,20260655,60325,29609,3016,6895,20805,18514,18264,9405,6949,7117,23471,80.57432964702784,49.368213525390736,8188.719912055692,46.955228929087845,3931.6851402728194,0.9751911288012042,21.207981093805635,24.825170774585434,15.540007761620407,0.38907583920431,195.9375,1256.7708333333333,767.7916666666666,639.9166666666666,137,105,32,14682,74,5319,0,0,0,0,32,0.7926981660981458,0.7194176245210728,0.9355263602283089,0.8490421455938697,2.0373872808943227,1.8490421455938697,0.4591794446746788,0.781840769147672,0.0,2.0,3.0,9,18514
sinusoidal_amp_050,28,20260656,60652,29680,2989,7090,20893,18493,18404,9457,7128,7096,23681,80.6146139100015,49.311180997534585,8187.798506767427,48.925602205377594,3906.7557459486775,0.9782322785145642,21.07143266636949,24.509922058585865,15.713975502203807,0.3904405460660819,197.02083333333334,1263.5833333333333,770.2291666666666,645.25,137,105,32,14715,80,5290,0,0,0,0,32,0.7978773584905661,0.7248767945146776,0.9428234501347709,0.8565612660320181,2.043530997304582,1.856561266032018,0.4613697817054673,0.7920294165359866,0.0,2.0,3.0,10,18493
sinusoidal_amp_050,29,20260657,60687,29341,3066,7076,21204,18345,18617,9390,7142,7112,23644,80.76393260963049,49.55463672538582,8068.619395644672,49.51130527140291,3944.579866342592,0.9752904963826086,21.16633085581824,24.691553153610922,15.655450016238929,0.3896056816122069,195.625,1264.3125,771.7291666666666,653.0416666666666,140,108,32,14520,92,5262,0,0,0,0,32,0.8058348386217239,0.7295954577714692,0.9638389966258819,0.872650970469343,2.0683344125967076,1.872650970469343,0.4659976601249032,0.7971654401744345,0.0,2.0,3.0,9,18345
