replication,seed,metric,full,light,difference,percent_difference
8,2034,mean_RL,125.8704271788692,129.43026720765954,3.559840028790333,2.8281782373961386
8,2034,final_Q,22.0,18.0,-4.0,-18.181818181818183
8,2034,final_B,1749.0,1790.0,41.0,2.3441966838193253
8,2034,final_RS,0.0,0.0,0.0,0.0
8,2034,final_RL,168.0,181.0,13.0,7.738095238095238
9,2035,mean_Q,12.554039383338656,12.55612459580835,0.0020852124696943974,0.01660989268889684
9,2035,mean_B,1144.8362345351459,1121.9908764799484,-22.845358055197494,-1.9955131892269045
9,2035,mean_RS,0.07727857426665792,0.1184925519190611,0.041213977652403186,53.33170033674533
9,2035,mean_RL,138.3151643198731,131.4680311368461,-6.847133183027012,-4.950385025890626
9,2035,final_Q,15.0,8.0,-7.0,-46.666666666666664
9,2035,final_B,1751.0,1764.0,13.0,0.7424328954882925
9,2035,final_RS,0.0,1.0,1.0,inf
9,2035,final_RL,202.0,172.0,-30.0,-14.85148514851485
10,2036,mean_Q,11.835493120151968,11.784414020864274,-0.05107909928769416,-0.4315755902111353
10,2036,mean_B,1046.9155781201373,1093.0352378487062,46.11965972856888,4.405289279521685
10,2036,mean_RS,0.076738149235211,0.020316846616896526,-0.05642130261831447,-73.52445059024929
10,2036,mean_RL,125.66417844372221,132.4437951856212,6.779616741899005,5.395027306795475
10,2036,final_Q,18.0,13.0,-5.0,-27.77777777777778
10,2036,final_B,1639.0,1715.0,76.0,4.636973764490543
10,2036,final_RS,1.0,0.0,-1.0,-100.0
10,2036,final_RL,170.0,164.0,-6.0,-3.5294117647058822
11,2037,mean_Q,11.009032314535832,11.102312879352692,0.09328056481685998,0.8473093924313085
11,2037,mean_B,1025.6195372151117,1034.2603508251254,8.640813610013765,0.8424969783118957
11,2037,mean_RS,0.0702490559889418,0.0,-0.0702490559889418,-100.0
11,2037,mean_RL,124.27771405931149,108.64773323965605,-15.629980819655444,-12.57665619130719
11,2037,final_Q,17.0,9.0,-8.0,-47.05882352941176
11,2037,final_B,1615.0,1664.0,49.0,3.0340557275541795
11,2037,final_RS,0.0,0.0,0.0,0.0
11,2037,final_RL,185.0,169.0,-16.0,-8.64864864864865
12,2038,mean_Q,11.703723230698039,12.2763679262005,0.5726446955024613,4.892842082940365
12,2038,mean_B,1043.9136888089802,1087.809473467005,43.89578465802492,4.204924710596181
12,2038,mean_RS,0.040944559725265464,0.27891830698668985,0.2379737472614244,581.2096866060061
12,2038,mean_RL,131.59018545335633,140.33247416935424,8.742288715997915,6.643572000357673
12,2038,final_Q,14.0,15.0,1.0,7.142857142857142
12,2038,final_B,1657.0,1688.0,31.0,1.8708509354254677
12,2038,final_RS,0.0,0.0,0.0,0.0
12,2038,final_RL,184.0,189.0,5.0,2.717391304347826
13,2039,mean_Q,12.299478193910018,12.056737246049856,-0.24274094786016143,-1.9735873671482465
13,2039,mean_B,1079.2977488538882,1082.3277711456774,3.030022291789237,0.280740166002091
